Topic,"Title (for model laws include the word ""Model"" in title)",Short Title (only for Exemplary),Year (if unknown for Model look at effective date - use same year if July/prior year if January),Source,Source Website,State (multiple states separated by a comma) ,"Format (Model, Exemplary, Support)","Level (State, County, Municipal)","Type (Bill, Act/Ordinance, Executive Order, Referendum, Administrative Rule, Constitutional Amendment, Report, Other)",Web Folder Link to PDF,Web Folder Path to PDF,Web Folder Link to Word Doc,Summary,Bill Number,Web Folder Link to Bill PDF,Legislative History,Alternative Terms,(Internal Notes)
Local Permitting for Affordable Housing,1969 Massachusetts Chapter 774,,1969,Massachusetts Legislature,http://www.malegislature.gov/,Massachusetts,Exemplary,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Economic_Security/Local_Permitting_for_Affordable_Housing/1969_Massachusetts_Chapter_774.pdf,,,This act allows for a limited override of local requirements and regulations when they are inconsistent with local and regional affordable housing needs. ,,,,,
Regional Tax Base Sharing,1971 Minnesota Extra Session Chapter 24,Charles R. Weaver Metropolitan Revenue Distribution Act,1971,Minnesota Legislature,http://www.leg.state.mn.us/,Minnesota,Exemplary,State,Other,http://www.BrandeisProject.org/Alice/Web_Folder/Revenue_And_Budget/Regional_Tax_Base_Sharing/1971_Minnesota_Extra_Session_Chapter_24.pdf,,,"An act to enable regional tax base sharing, which allows taxing entities within a metropolitan area to share revenue generated from new development; Sharing a tax base facilitates better land use and development patterns, allows for a better distribution of public services and reduces interregional competition for business and resources.",1971 First Special Session Minnesota Senate Bill 10,,,,https://www.revisor.mn.gov/statutes/?id=473F
Election Day Registration,1973 Minnesota Chapter 676,,1973,Minnesota legislature,http://www.leg.state.mn.us/,Minnesota,Exemplary,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Voting_and_Elections/Election_Day_Registration/1973_Minnesota_Chapter_676.pdf,,,"This act authorizes any eligible voter to register on election day by completing a registration card, making an oath in the form prescribed by the commissioner and providing proof of his residence. An individual may prove his residence by (1) the showing of his drivers license or nonqualification certificate or (2) providing any document approved by the commissioner as proper identification, or C3) having an individual who is registered to vote in the precinct sign an oath in the presence of the election judge that he personally knows that the applicant is a resident of the precinct. Forms for the card and oath shall be available at each polling place.",,,,,
Unemployment Insurance Alternative Base Period,1987 Washington Chapter 278,,1987,Washington Legislature,http://www.leg.wa.gov/pages/home.aspx,Washington ,Exemplary,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Economic_Security/Unemployment_Insurance_Alternative_Base_Period/1987_Washington_Chapter_278.pdf,,,This act allows the base year use for unemployment insurance to be computed using the last four completed calendar quarters immediately preceding the first day of the individual's benefit year instead of the first four completed calendar quarters within the last five years.,,,,,
Municipal Environmental Regulation,"1988 Jay Environmental Control and Improvement
Ordinance",,1988,Town of Jay City Council,http://townofjayfl.com/about.htm,Maine,Exemplary,Municipal ,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Energy_and_Environment/Municipal_Environmental_Regulation/1988_Jay_Environmental_Control_And_Improvement_Ordinance.pdf,,,"The Jay Environmental Control and Improvement Ordinance is a comprehensive regulatory plan to protect and enhance the public health and environment of the Town of Jay and to prevent threats to health and the environment posed by the discharge of pollutants to air, water and land...The Ordinance prohibits certain activities that may adversely affect public health and the environment and regulates subdivisions, landfills, point source discharges into water and emissions of air contaminants through permits issued and enforced by the Planning Board.",,,,,
Housing Trust Funds,1989 Chicago Ordinance ,Establishment of Chicago Low Income Housing Trust Fund,1989,Chicago City Council ,https://www.cityofchicago.org/city/en/about/council.html,,Exemplary,Municipal,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Economic_Security/Housing_Trust_Funds/1989_Chicago_Ordinance.pdf,,,This ordinance establishes a non profit corporation in the form of a trust fund to address the permanent housing needs of residents whose income is at or below 50% of the median income.,,,,,
Timber Supply Stabilization,Idaho Administrative Procedures Act 20 Title 2 Chapter 11,Timber Supply Stabilization Act of 1989,1989,Idaho Legislature,http://www.legislature.idaho.gov/,Idaho,Exemplary,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Economic_and_Workforce_Development/Timber_Supply_Stabilization/Idaho_Administrative_Procedures_Act_20_Title_2_Chapter_11.pdf,,,"Under the Timber Supply Stabilization Act, 95 percent of Idaho’s state timber is offered to qualified bidders
 each year. A qualified bidder is essentially an Idaho processor – that 
is, she has historically processed at least 95 percent of state timber 
within the state, or has sold at least 95 percent of the timber to other
 in-state processors. The remaining five percent of state timber sales 
are open to all bidders. ",,http://www.ilsr.org/rule/in-state-processing-requirement/2161-2/,,"Economic Development, Workforce Development, ",
Big Box Retailing,1991 Greenfield Massachusetts Major Development Review Rules and Regulations for Impact Statements,,1991,Greenfield Planning Board,http://www.townofgreenfield.org/pages/greenfieldma_bcomm/planning/index,Massachusetts,Exemplary,Municipal,Administrative Rule,http://www.BrandeisProject.org/Alice/Web_Folder/Economic_and_Workforce_Development/Big_Box_Retailing/1991_Greenfield_Massachusetts_EIR_Rules_Regulations.pdf,,,"An rule which requires proposed retail stores to undergo a special review if they are to exceed 20,000 square feet or generate more than 500 vehicle trips per day. Impact studies are paid for by the developer and consider the project’s impact on traffic, municipal services, public revenue, the environment, the local economy, and the community. The community component includes potential impact on historic and scenic sites, the character of the town, and the downtown business district.  Findings of adverse impact may result in rejection of the development.",,,,"Zoning, Big Box Retail, Land Use Planning, Transportation, Impact Statement, Planned Urban Development, PUD",
Unemployment Insurance Coverage For Independent Contractors,1991 Washington Title 50 Chapter 4 Section 140,,1991,Washington Legislature,http://www.leg.wa.gov/pages/home.aspx,Washington ,Exemplary,State,Other,http://www.BrandeisProject.org/Alice/Web_Folder/Economic_Security/Unemployment_Insurance_Coverage_For_Independent_Contractors/1991_Washington_Title_50_Chapter_4_Section_140.pdf,,,"This legislation helps define the employer-employee relationship by determining if workers are independent contractors for access to unemployment insurance. Washington uses a more specific description than many states who use the “ABC” test, which excludes workers from UI coverage only if (A) they are free of the employer’s control in the performance of their job; (B) their service is outside the normal course of business of the employer or off of the employer’s premises; and (C) the worker operates his or her own business.",1991 Washington Title 50 Chapter 4 Section 140,,,,
Housing Trust Funds,1992 Pennsylvania Chapter 137,County Affordable Housing Funds Act,1992,Pennsylvania legislature,http://www.legis.state.pa.us/,,Exemplary,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Economic_Security/Housing_Trust_Funds/1992_Pennsylvania_Chapter_137.pdf,,,"This act permits 66 of the state’s 67 counties (excluding Philadelphia) to raise additional revenues to be used for affordable housing needs by increasing fees for recording mortgages and deeds. This act requires that the additional funds be expended for any program or project approved by the county commissioners which increases the availability of quality housing, either sales or rental, to any county resident whose annual income is less than the median income of the county.",1992 Pennsylvania Senate Bill 962; http://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=1991&sessInd=0&billBody=S&billTyp=B&billNbr=0962&pn=1033,,http://www.legis.state.pa.us/cfdocs/billInfo/bill_history.cfm?syear=1991&sind=0&body=S&type=B&bn=962,,
