,"Sub Area","Old Topic","New Topic","Title (for model laws include the word ""Model"" in title)","Short Title (only for Exemplary)","Year (if unknown for Model look at effective date - use same year if July/prior year if January)","Source","Source Website","State (multiple states separated by a comma) ","Format (Model, Exemplary, Support)","Level (State, County, Municipal)","Type (Bill, Act/Ordinance, Executive Order, Referendum, Administrative Rule, Constitutional Amendment, Report, Other)","Current Link to Asset","Web Folder Link to PDF","Web Folder Link to Word Doc","Summary","Bill Number","Web Folder Link to Bill PDF","Legislative History","Alternative Terms","(Internal Notes)"
"Civil Rights","Eliminate Racial Bias in the Criminal Justice System","Address Racial Disparity in Death Penalty Sentencing","Racial Disparity in Death Penalty Sentencing","2009 North Carolina Senate Bill 461","North Carolina Racial Justice Act",2009,"North Carolina Legislature",,"North Carolina","Exemplary","State","Act/Ordinance","http://www.ncleg.net/Sessions/2009/Bills/Senate/PDF/S461v6.pdf","www.alicelaw.org/Web_Folder/Civil_Rights/Address_Racial_Disparity_in_Death_Penalty_Sentencing/2009_North_Carolina Senate_Bill_461.pdf",,"The act confirms that no person shall be subject to a sentence of death based on any judgment that was sought or obtained on the basis of race. The act provides a process by which statistical evidence could be used to establish that race was the basis for seeking or obtaining the death penalty in any case, and allows pre-trial defendants and inmates on death row the opportunity to challenge the decision to seek or impose capital punishment.  ","2009 North Carolina Senate Bill 461",,"http://www.ncleg.net/gascripts/billlookup/billlookup.pl?Session=2009&BillID=S461",,
"Civil Rights","Civil Liberties","Anti-Strategic Litigation Against Public Participation","Anti-Strategic Lawsuits Against Public Participation (SLAPP)","2010 Rhode Island Title 9 Chapter 33 Section 2","Limits on Strategic Litigation Against Public Participation",2010,"Rhode Island Legislature","http://www.rilin.state.ri.us/","Rhode Island","Exemplary","State","Act/Ordinance (or administrative rule?)","http://www.rilin.state.ri.us/Statutes/TITLE9/9-33/9-33-2.HTM","www.alicelaw.org/Web_Folder/Civil_Rights/Anti-Strategic_Litigation_Against_Public_Participation/2010_Rhode_Island_Title_9_Chapter_33_Section_2.pdf",,"This law restricts Strategic Lawsuits Against Public Participation. SLAPPs are cases by corporations against a party's exercise of its right of petition or of free speech, used to silence and harass critics by forcing them to spend money to defend these suits. Victims of a SLAAP can collect a fine and attorneys fees from those misusing a SLAAP.",,,,,
"Civil Rights","Civil Liberties","Anti-Strategic Litigation Against Public Participation","Anti-Strategic Lawsuits Against Public Participation (SLAPP)","1994 Massachusetts Chapter 231 Section 59H","Strategic Litigation Against Public Participation; Special Motion to Dismiss",1994,"Massachusetts Legislature","http://www.malegislature.gov/","Massachusetts","Exemplary","State","Is a Statute an Administrative rule?","http://www.malegislature.gov/Laws/GeneralLaws/PartIII/TitleII/Chapter231/Section59H","www.alicelaw.org/Web_Folder/Civil_Rights/Anti-Strategic_Litigation_Against_Public_Participation/1994_Massachusetts_Chapter_231_Section_59H.pdf",,"This law restricts Strategic Lawsuits Against Public Participation. SLAPPs are cases by corporations against a party's exercise of its right of petition or of free speech, used to silence and harass critics by forcing them to spend money to defend these suits. In any case in which a SLAPP victim asserts that the civil claims against them are based on exercising of their right of petition under the constitution of the United States or of the commonwealth, the party may bring a special motion to dismiss.",,,,,
"Civil Rights","Civil Liberties","Anti-USA Patriot Act and Homeland Security Act","Anti-USA Patriot Act and Homeland Security Act","2003 Minneapolis Resolution: Defending the Bill of Rights","Defending the Bill of Rights",2003,"Bill of Rights Defense Committee","http://www.bordc.org/","Minnesota","Exemplary","Municipal","Act/Ordinance","http://www.bordc.org/detail.php?id=65","www.alicelaw.org/Web_Folder/Civil_Rights/Anti-USA_Patriot_Act_and_Homeland_Security_Act/2003_Minneapolis_Resolution-_Defending_the_Bill_of_Rights.pdf",,"This ordinance states that the 2002 USA Patriot Act and the 2002 Homeland Security Act threatens the rights and liberties guaranteed by the U.S. Bill of Rights and disallows the use of community resources to implement certain requirements of those acts and other executive orders passed after the attacks of 9/11/ 2001. The ordinance also confirms that the city does not operate its programs for the purpose of enforcing federal immigration laws.",,,,"Defending the Bill of Rights","Can't find introduced or earlier version"
"Civil Rights","Civil Liberties","Anti-USA Patriot Act and Homeland Security Act","Anti-USA Patriot Act and Homeland Security Act","2004 Saint Paul Bill of Rights Defense Resolution","Saint Paul City Council Bill of Rights Defense Resolution",2004,"Bill of Rights Defense Committee","http://www.bordc.org/","Minnesota","Exemplary","Municipal","Act/Ordinance","http://www.bordc.org/detail.php?id=528","www.alicelaw.org/Web_Folder/Civil_Rights/Anti-USA_Patriot_Act_and_Homeland_Security_Act/2004_Saint_Paul_Bill_of_Rights_Defense_Resolution.pdf",,"This ordinance affirms the Principles of Federalism and Civil Liberties Adapted from the National League of Cities Bill of Rights Defense Resolution and states that the 2002 USA Patriot Act and the 2002 Homeland Security Act threatens the rights and liberties guaranteed by the U.S. Bill of Rights. The ordinance also confirms that the city does not operate its programs for the purpose of enforcing federal immigration laws.",,,,"Principles of Federalism and Civil Liberties","Can't find introduced or earlier version"
"Civil Rights","Civil Liberties","Anti-USA Patriot Act and Homeland Security Act","Anti-USA Patriot Act and Homeland Security Act","2004 Port Orford Chapter 2.30 Title 2","Port Orford Ordinance to Defend the Bill of Rights and Civil Liberties",2004,"Bill of Rights Defense Committee","http://www.bordc.org/","Oregon","Exemplary","Municipal","Act/Ordinance","http://www.bordc.org/detail.php?id=5","www.alicelaw.org/Web_Folder/Civil_Rights/Anti-USA_Patriot_Act_and_Homeland_Security_Act/2004_Port_Orford_Chapter_2.30_Title_2.pdf",,"The ordinance amends the City of Port Orford Municipal Code to protect the rights and liberties of all people as stated in the United States and the Oregon Constitutions and the Bill of Rights, and to prohibit unconstitutional detainments or profiling, It also states that the city shall expend no funds or resources for activities that violate the constitutional rights and freedoms of all persons.",,,,,"Can't find introduced or earlier version"
"Civil Rights","Civil Liberties","Anti-USA Patriot Act and Homeland Security Act","Anti-USA Patriot Act and Homeland Security Act","2003 Arcata Resolution to Defend the Bill of Rights and Civil Liberties","Arcata Resolution to Defend the Bill of Rights and Civil Liberties",2003,"Bill of Rights Defense Committee","http://www.bordc.org/","California","Exemplary","Municipal","Act/Ordinance","http://www.bordc.org/detail.php?id=119","www.alicelaw.org/Web_Folder/Civil_Rights/Anti-USA_Patriot_Act_and_Homeland_Security_Act/2003_Arcata_Resolution_to_Defend_the_Bill_of_Rights_and_Civil_Liberties.pdf",,"The resolution aims to protect the rights and liberties of all people as stated in the United States and California Constitutions and the Bill of Rights, and to prohibit unconstitutional detainments or profiling, It also states that the city shall expend no funds or resources for activities that violate the constitutional rights and freedoms of all persons.",,,,,"Can't find introduced or earlier version"
"Civil Rights","Civil Liberties","Anti-USA Patriot Act and Homeland Security Act","Anti-USA Patriot Act and Homeland Security Act","2003 Huntington Ordinance Defending the People's Bill of Rights","Huntington Ordinance Defending the People's Bill of Rights in Article 99",2003,"Bill of Rights Defense Committee","http://www.bordc.org/","West Virginia","Exemplary","Municipal","Act/Ordinance","http://www.bordc.org/detail.php?id=380","www.alicelaw.org/Web_Folder/Civil_Rights/Anti-USA_Patriot_Act_and_Homeland_Security_Act/2003_Huntington_Ordinance_Defending_the_People's_Bill_of_Rights.pdf",," This ordinance of the Council amends, modifies, and re-enacts Article 99 of the Codified Ordinances of the City of Huntington, as Revised, Concerning People's Bill of Rights. It aims to protect the rights and liberties of all people as stated in the United States and West Virginia Constitutions and the Bill of Rights, and to prohibit unconstitutional profiling or searches. ",,,,,"Can't find introduced or earlier version"
"Civil Rights","LGBTQ Rights","Civil Union Dissolution","Civil Union Dissolution","2012 Vermont Act 92",,2012,"Vermont Legislature",,"Vermont","Exemplary","State","Act/Ordinance","http://www.leg.state.vt.us/docs/2012/BILLS/INTRO/H-758.pdf","www.alicelaw.org/Web_Folder/Civil_Rights/Civil_Union_Dissolution/2012_Vermont_Act_92.pdf",,"This act provides access to a civil union dissolution or a divorce to nonresident couples joined in a Vermont civil union or Vermont marriage who are legally barred from dissolving the union in their state of residence. The provisions of this act pertaining to a divorce for nonresident couples shall apply to both same-sex and opposite-sex couples.","2012 Vermont House Bill 758 ",,,,"CS-Updated current link to passed version"
"Civil Rights","LGBTQ Rights","Civil unions","Civil Unions","Civil Union Equality Model Act",,2007,"Center for Policy Alternatives",,,"Model","State","Act/Ordinance","http://www.cows.org/alice/documents/Civil Rights/Domestic Partnership Rights/CPA Marriage Equality.pdf","www.alicelaw.org/Web_Folder/Civil_Rights/Civil_Unions/Civil_Union_Equality_Model_Act.pdf","www.alicelaw.org/Web_Folder/Civil_Rights/Civil_Unions/Civil_Union_Equality_Model_Act.docx","The act allows same-sex couples to enter into civil unions, giving 
them many of the benefits of marriage.",,,,,
"Civil Rights","LGBTQ Rights","Domestic Partnerships","Domestic Partnership","Domestic Partnership Model Act",,2007,"Center for Policy Alternatives",,,"Model","State","Act/Ordinance","http://www.cows.org/alice/documents/Civil Rights/Domestic Partnership Rights/CPA Marriage Equality.pdf","www.alicelaw.org/Web_Folder/Civil_Rights/Domestic_Partnerships/Domestic_Partnership_Model_Act.pdf","www.alicelaw.org/Web_Folder/Civil_Rights/Domestic_Partnerships/Domestic_Partnership_Model_Act.docx","The act allows unmarried couples certain specified rights enjoyed by married couples.Domestic Partnership is a legal relationship that is formed between two individuals who are not married and intend to live together as spouses.",,,,,"This model was separated out from the CPA Civil Union Equality Model Act"
"Civil Rights","Civil Liberties","Free Speech","Free Speech",,,,,,,,,,,,,,,,,,"There were two empty rows for this topic???"
"Civil Rights","LGBTQ Rights","LGBTQ Anti-discrimination","LGBTQ Anti-Discrimination","2007 Iowa Senate File 427",,2007,"Iowa Legislature",,"Iowa","Exemplary","State","Act/Ordinance","http://coolice.legis.state.ia.us/Cool-ICE/default.asp?Category=billinfo&Service=Billbook&amp;amp;frame=1&GA=82&hbill=SF427","www.alicelaw.org/Web_Folder/Civil_Rights/LGBTQ_Anti-discrimination/2007_Iowa_Senate_File_427.pdf",,"The act prohibits discrimination by employers, landlords, other entities and services, by adding the categories of Sexual Orientation and Gender Identity to the state's civil rights laws. ",,,,,
