"Policy Area","Sub Area","Old Topic","New Topic","Title (for model laws include the word ""Model"" in title)","Short Title (only for Exemplary)","Current Link to Bill","Bill Number","Year (if unknown for Model look at effective date - use same year if July/prior year if January)","Source","Source Website","State (multiple states separated by a comma) ","Format (Model, Exemplary, Support)","Level (State, County, Municipal)","Type (Bill, Act/Ordinance, Executive Order, Referendum, Administrative Rule, Constitutional Amendment, Report, Other)","Current Link to Asset","Web Folder Link to PDF","Web Folder Link to Word Doc","Summary","Alternative Terms","Legislative History","Notes"
"Government Performance","Government Accountability","ALEC Accountability Act","ALEC Accountability Act","2011 Wisconsin Assembly Bill 621",,,,2011,"Wisconsin Legislature ","http://legis.wisconsin.gov/Pages/default.aspx","Wisconsin ","Exemplary","State","Bill","https://docs.legis.wisconsin.gov/2011/related/proposals/ab621","www.alicelaw.org/Web_Folder/Government_Performance/Government_Accountability/2011_Wisconsin_Assembly_Bill.pdf",,"An act which extends the reporting requirements for legislators who 
receive anything worth more than $50 in value to include the receipt of a
""scholarships"" given to legislators, which permit them to attend 
meetings or conferences; also requires any person who provides anything 
of value to legislators to file a report with the government 
accountability board.","Pay to Play, Government Accountability, ","https://docs.legis.wisconsin.gov/2011/proposals/ab621",
"Government Performance","Government Procurement and Contracting","Anti-Expatriate Companies in Gov Contracting","Anti-Expatriate Companies in Gov Contracting","Taxpayer and Shareholder Protection Act 2003 Model Law",,,,2003,"Center for Policy Alternatives",,,"Model",,"Act/Ordinance",,"www.alicelaw.org/Web_Folder/Government_Performance",,,,,
"Government Performance","Government Procurement and Contracting","Anti-Expatriate Companies in Gov Contracting","Anti-Expatriate Companies in Gov Contracting","2003 California Chapter 657","Taxpayer and Shareholder Protection Act of 2003","http://www.leginfo.ca.gov/pub/03-04/bill/sen/sb_0601-0650/sb_640_bill_20030221_introduced.pdf","2003 California Senate Bill 640",2003,"California Legislature","http://www.legislature.ca.gov/","California","Exemplary","State","Act/Ordinance","http://www.leginfo.ca.gov/pub/03-04/bill/sen/sb_0601-0650/sb_640_bill_20031002_chaptered.pdf","www.alicelaw.org/Web_Folder/Government_Performance/Government_Procurement_And_Contracting/2003_California_Chapter_657.pdf",,"This bill prohibits the state from entering into any contract with a publicly traded foreign incorporated entity  
or its subsidiary if that business meets certain conditions that would make it an expatriate company (a domestic 
corporation or partnership that incorporated in a foreign jurisdiction in name only). The bill would permit the chief executive officer of a state agency to waive the prohibition and contract with an expatriate company upon a written finding of ""compelling public interest,"" as defined.","Expatriate Companies, Off Shoring, Government Contract, Public Contract, Government Procurement, Service Contracts, Economic Development,","http://www.leginfo.ca.gov/pub/03-04/bill/sen/sb_0601-0650/sb_640_bill_20031002_history.html",
"Government Performance","Government Procurement and Contracting","Anti-Expatriate Companies in Gov Contracting","Anti-Expatriate Companies in Gov Contracting","Treasurer Angelides Lauds Governor's Signing Signing of Toughest in the Nation Legislation to Halt State Contracting with Expatriate Firms that Flee U.S. Soil",,,,2003,"California Office of the State Treasurer ","http://www.treasurer.ca.gov/","California","Support","State","Other","http://www.treasurer.ca.gov/news/releases/2003/20031002expatriate.pdf","www.alicelaw.org/Web_Folder/Government_Performance",,"Press release regarding the signing of an act to prohibit the State of California from contracting with any publicly held, runaway U.S. corporations that have “expatriated,” or moved their place of incorporation – in name only – to tax havens like Bermuda and the Cayman Islands to avoid taxes and weaken shareholder rights","Expatriate Companies, Off Shoring, Government Contract, Public Contract,
Government Procurement, Service Contracts, Economic Development,",,
"Government Performance","Government Procurement and Contracting","Anti-Sweatshop Goods in Government Procurement","Anti-Sweatshop Procurement Policies","Model Code of Conduct and Sweatfree Procurement Policy 5.0",,,,2008,"Sweatfree Communities","http://www.sweatfree.org/",,"Model","State, County, Municipal","Act/Ordinance ","http://www.sweatfree.org/resources_modelcode","www.alicelaw.org/Web_Folder/Government_Performance",,"A model ordinance that requires governments procure goods from responsible employers that provide fair wages and living conditions rather than sweatshops.","Government Contract, Public Contract, Government Procurement, Service Contracts, Economic Development, Sweat Shop",,
"Government Performance","Government Procurement and Contracting","Anti-Sweatshop Goods in Government Procurement","Anti-Sweatshop Procurement Policies","2003 Milwaukee Ordinance 310-17","Procurement of Various Items",,,2003,"Milwaukee Common Council","http://city.milwaukee.gov/CommonCouncil","Wisconsin","Exemplary","Municipal","Act/Ordinance ","www.sweatfree.org/policies/Milwaukee_policy.pdf","www.alicelaw.org/Web_Folder/Government_Performance",,"This ordinance provides that all contracting departments shall award contracts in excess of $5000related to the purchasing, renting, laundering and dry cleaning of items of apparel to contractorsand subcontractors who are able to provide for the fulfillment of the contracts fromestablishments able to demonstrate compliance with all applicable laws regarding wages andbenefits, workplace health and safety, forced and child labor and freedom of association. Therequirements of this ordinance may be waived under certain conditions.","Government Contract, Public Contract, Government Procurement, Service Contracts, Economic Development, Sweat Shop",,
"Government Performance","Government Procurement and Contracting","Anti-Sweatshop Goods in Government Procurement","Anti-Sweatshop Procurement Policies","1999 Bangor Maine Clean Clothes Policy Resolution",,,,1999,"Bangor City Council","http://www.bangormaine.gov/index.php?id=243&sub_id=219","Maine","Exemplary","Municipal","Other","http://www.ilsr.org/rule/purchasing-preferences/2170-2/","www.alicelaw.org/Web_Folder/Government_Performance",,"purchasing policy, establishing guidelines for buying clothing, footwear and other products from ""responsible contractors."" Bidders to supply items such as police and fire uniforms, footwear and recreational equipment will be asked a series of questions: Where are the goods made? Is child or forced labor used there? Has the manufacturing facility been determined to have violated international labor standards? Are unions allowed? What are the wages like? The city then takes this information into account as one factor in deciding who gets the city’s business. ","Government Contract, Public Contract, Government Procurement, Service Contracts, Economic Development, Sweat Shop",,
"Government Performance","Government Procurement and Contacting","Best Value Contracting","Best Value Contracting","2007 Madison Legislative File Number 5139",,,,2007,"Madison City Council","http://www.cityofmadison.com/council/","Wisconsin","Exemplary","Municipal","Act/Ordinance","http://madison.legistar.com/ViewReport.ashx?M=R&N=Text&GID=205&ID=1096031&GUID=DB8FB547-E34A-4852-B3C0-8D88E076FD8B&Title=Legislation+Text","www.alicelaw.org/Web_Folder/Government_Performance",,"An ordinance adopting procedures known as best value contracting for public construction contracts and projects accepting TIF financing. ","Best Value Contracting, TIF, Government Contracting","http://madison.legistar.com/ViewReport.ashx?M=R&N=Master&GID=205&ID=1058438&GUID=E4F7935D-CA88-4DCF-BDE5-DC6287763CC8&Title=Legislation+Details",
"Government Performance","Government Procurement and Contacting","Buy American","Buy American","2012 Nebraska Legislative Bill 923","Nebraska Buy American Act",,,2012,"Nebraska Legislature","http://nebraskalegislature.gov/","Nebraska","Exemplary","State","Bill","http://nebraskalegislature.gov/FloorDocs/Current/PDF/Intro/LB923.pdf","www.alicelaw.org/Web_Folder/Government_Performance",,"An act that would require that public works contracts by state agencies contain provisions that the manufactured goods used or supplied in performance of the contract be made in the United States. The act would not apply if American-made goods were not available in sufficient quantity or if the purchase of American-made goods would increase the cost of a contract by more than 10 percent.","Local Procurement, Government Procurement, Government Contracting, ","http://nebraskalegislature.gov/bills/view_bill.php?DocumentID=15444",
"Government Performance","Government Procurement and Contacting","Buy American","Buy American","""Buy American"" Bill Introduced",,,,2012,"Lincoln Journal Star","http://journalstar.com/","Nebraska","Support","State","Other","http://journalstar.com/news/unicameral/buy-american-bill-introduced/article_34246e88-2274-542d-8283-0e7ac795e343.html","www.alicelaw.org/Web_Folder/Government_Performance",,"A newspaper article discussing the introduction of Nebraska's Buy American Act. ","Local Procurement, Government Procurement, Government Contracting,",,
