Master Spreadsheet Sub Area,Master Spreadsheet Topic,Policy Area,Sub Area,Topic,Summary,Comments
,,Civil Rights,LGBTQ Rights,Anti-Bullying,Act prohibiting harassment or discrimination on the basis of any personal characteristic and establishing procedures for responding to complaints,
Civil Liberties,Anti-Slapp,Civil Rights,Civil Liberties,Anti-Strategic Lawsuits Against Public Participation (SLAPP),"SLAPPs -- Strategic Lawsuits Against Public Participation -- are used, often by corporations, to silence and harass critics by forcing them to spend money to defend themselves from baseless lawsuits. Anti-SLAPP laws protect speech in connection with a government agency or forum from lawsuit. Victims of a SLAAP can collect a fine and attorneys fees from those misusing a SLAAP.",
Civil Liberties,Anti-Usa Patriot Act and Homeland Security Act,Civil Rights,Civil Liberties,Anti-USA Patriot Act and Homeland Security Act,"The Bill of Rights Defense Committee (BORDC) has helped craft a number of municipal ordinances that disallow the use of community resources to implement certain requirements of the 2002 USA Patriot Act, The Homeland Security Act and other executive orders passed after the terrorist attacks of 2001.",
Lgbtq Rights,Civil Union Dissolution,Civil Rights,LGBTQ Rights,Civil Union Dissolution,,
Lgbtq Rights,Civil Unions,Civil Rights,LGBTQ Rights,Civil Unions,,
,,Civil Rights,LGBTQ Rights,Domestic Partnership,,
,,Civil Rights,Housing Rights,Eminent Domain Moratorium,,
,,Civil Rights,Environmental Justice,Environmental Justice Task Force,,
,,Civil Rights,Criminal Justice Rights,Equal Access to Employment for People with Criminal Records,,
,,Civil Rights,Housing Rights,Equal Access to Housing Services,,
,,Civil Rights,Criminal Justice Rights,Eyewitness Identification,,
,,Civil Rights,Civil Liberties,Free Speech,,
,,Civil Rights,LGBTQ Rights,Hate Crime Prevention,,
,,Civil Rights,People of Color Rights,Hate Crime Prevention,,
,,Civil Rights,Housing Rights,Homeless Housing Program,,
,,Civil Rights,Civil Liberties,Increase Free Speech Access to Employer Property,,
,,Civil Rights,Criminal Justice Rights,Innocence Protection,,
,,Civil Rights,LGBTQ Rights,LGBTQ Anti-Discrimination,,
Lgbtq Rights,Anti-Discrimination Statute For Lgbtindividuals,Civil Rights,Women's Rights,LGBTQ Anti-Discrimination,,
