"Policy Area","Sub Area","Old Topic","New Topic","Title (for model laws include the word ""Model"" in title)","Short Title (only for Exemplary)","Bill Number","Web Folder Link to Bill PDF","Year (if unknown for Model look at effective date - use same year if July/prior year if January)","Source","Source website","State (multiple states separated by a comma) ","Format (Model, Exemplary, Support)","Level (State, County, Municipal)","Type (Bill, Act/Ordinance, Executive Order, Referendum, Administrative Rule, Constitutional Amendment, Report, Other)","Current Link to Asset","Web Folder Link to PDF","Web Folder Link to Word Doc","Summary","Alternative Terms","Legislative History"
"Voting and Elections","Voting and election reform","Ballot initiative reform","Ballot Initiative Reform","Ballot Initiative Integrity Model Act",,,,,"Center for State Innovation","http://www.stateinnovation.org/",,"Model","State","Bill","http://www.stateinnovation.org/Publications/All-Publications/Legis---Ballot-Initiative-Reform.aspx#Model_Legislation","www.alicelaw.org/Web_Folder/Voting_and_Elections/Ballot_Initiative_Reform/Ballot_Initiative_Integrity_Model_Act.pdf",,"This bill requires that petition circulators be state voters and compensated on an hourly, not per-signature, basis.",,
"Voting and Elections","financing/lobbying","Campaign finance reform - requirements for public disclosure of donations, ads, expenditures etc.","Campaign Finance Reform","2005 New Jersey Chapter 51",,,,2005,"New Jersey legislature","http://www.njleg.state.nj.us/","New Jersey","Exemplary","State","Act","http://www.njleg.state.nj.us/2004/Bills/PL05/51_.PDF","www.alicelaw.org/Web_Folder/Voting_and_Elections/Campaign_Finance_Reform/2005_New_Jersey_Chapter_51.pdf",,"This act prohibits state agencies and offices from contracting with businesses over a set dollar amount which have solicited or made any contribution of money, or pledge of contribution, including in-kind contributions to a candidate committee or election fund of any candidate or holder of the public office of Governor, or to any State or county political party committee within set periods of time.  This act prohibits businesses which have contracted with a state agency or office over a set dollar amount from soliciting or making any contribution of money, or pledge of contribution, including in-kind contributions to a candidate before the end of their state contract.",,"http://www.njleg.state.nj.us/bills/BillView.asp"
"Voting and Elections","financing/lobbying","Campaign finance reform - requirements for public disclosure of donations, ads, expenditures etc.","Campaign Finance Reform","2010 Iowa Chapter 119",,,,2010,"Iowa legislature","https://www.legis.iowa.gov/index.aspx","Iowa","Exemplary","State","Act","https://www.legis.iowa.gov/DOCS/IowaActs/83/2/pdf/Chapter_1119.pdf","www.alicelaw.org/Web_Folder/Voting_and_Elections/Campaign_Finance_Reform/2010_Iowa_Chapter_119.pdf",,"This act regulates independent expenditures, provide for mandatory attribution on published materials, and limit/regulate political contributions from financial institutions",,"http://coolice.legis.iowa.gov/Cool-ICE/default.asp?Category=BillInfo&Service=DspHistory&var=SF&key=0917B&GA=83"
"Voting and Elections","financing/lobbying","Campaign finance reform - requirements for public disclosure of donations, ads, expenditures etc.","Campaign Finance Reform","2012 Arizona House Bill 2385",,,,2012,"Arizona legislature","http://www.azhouse.gov/","Arizona","Exemplary","State","Act","http://www.azleg.gov/legtext/50leg/2r/bills/hb2385p.pdf","www.alicelaw.org/Web_Folder/Voting_and_Elections/Campaign_Finance_Reform/2012_Arizona_House_Bill_2385.pdf",,"An act to prohibit campaign contributions from certain entities (banks), requiring increased disclosure of contributions of greater than $10,000, requiring disclosure of the value of  in-kind contributions, and requiring the state to publicly disclose contributions. ",,"http://www.azleg.gov/DocumentsForBill.asp?Bill_Number=HB2385&Session_ID=107"
"Voting and Elections","financing/lobbying","Campaign finance reform - requirements for public disclosure of donations, ads, expenditures etc.","Campaign Finance Reform","2011 Maryland Chapter 575",,,,2011,"Maryland legislature","http://mlis.state.md.us/","Maryland","Exemplary","State ","Act","http://mlis.state.md.us/2011rs/chapters_noln/Ch_575_hb0093E.pdf","www.alicelaw.org/Web_Folder/Voting_and_Elections/Campaign_Finance_Reform/2011_Maryland_Chapter_575.pdf",,"This act requires reporting of independent expenditures and electioneering communications aimed at influencing Maryland elections when the total expenditure surpasses $10,000. Perhaps most importantly, the legislation requires that any corporation, union, or other membership organization that files an independent expenditure include the relevant information about the expenditures in any periodic reports to its shareholders, members, or donors. ",,"http://mlis.state.md.us/2011rs/billfile/hb0093.htm"
"Voting and Elections","financing/lobbying","Campaign finance reform - shareholder approval of corporate political activity","Campaign Finance Reform","2010 West Virginia House Bill 4646",,,,2010,"West Virginia legislature","http://www.legis.state.wv.us/","West Virginia","Exemplary","State","Act","http://www.legis.state.wv.us/bill_status/bills_text.cfm?billdoc=HB4646%20SUB.htm&yr=2010&sesstype=RS&i=4646","www.alicelaw.org/Web_Folder/Voting_and_Elections/Campaign_Finance_Reform/2010_West_Virginia_House_Bill_4646.pdf",,"This act requires corporations to seek annual approval of contributions by a majority of shareholders if the corporation makes a political contribution of $10,000 or more; to state, if known at the time, whether or not the funds will be used to benefit or defeat a specific candidate, ballot measures or issue advocacy campaigns, or whether it will be paid to specific nonprofits or trade associations for political activities; and provides that a director who votes for or assents to a expenditure or contribution without the authorization of shareholders is personally liable to the corporation.     ",,"http://www.legis.state.wv.us/bill_status/bills_history.cfm?year=2010&sessiontype=RS&input=4646"
"Voting and Elections","financing/lobbying","Campaign finance reform - shareholder approval of corporate political activity","Campaign Finance Reform","2010 Maryland House Bill 616",,,,2010,"Maryland legislature","http://mlis.state.md.us/","Maryland","Exemplary","State","Bill","http://mlis.state.md.us/2010rs/bills/hb/hb0616f.pdf","www.alicelaw.org/Web_Folder/Voting_and_Elections/Campaign_Finance_Reform/2010_Maryland_House_Bill_616.pdf",,"This bill requires specified business entities that make independent expenditures of at least $10,000 for campaign material to disclose specified information to the State Board of Elections within 12 hours of making the expenditure; requires the State Board to post specified information; requires a business entity that has stockholders to get the approval of the majority of its stockholders before making an independent expenditure of at least $10,000 for campaign material.",,"http://mlis.state.md.us/2010rs/billfile/HB0616.htm"
"Voting and Elections","financing/lobbying","Campaign finance reform - shareholder approval of corporate political activity","Campaign Finance Reform","2010 Maryland House Bill 986",,,,2010,"Maryland legislature","http://mlis.state.md.us/","Maryland","Exemplary","State","Bill","http://mlis.state.md.us/2010rs/bills/hb/hb0986f.pdf","www.alicelaw.org/Web_Folder/Voting_and_Elections/Campaign_Finance_Reform/2010_Maryland_House_Bill_986.pdf",,"This bill prohibits a corporation from publishing or distributing campaign material in the State unless the campaign material is true, the board of directors has determined that the expenditure of funds is in the best interests of the corporation, and the content of the campaign material and the expenditure of funds has been approved by the stockholders by a specified vote; and authorizes a direct stockholder action for an alleged violation of the Act.",,"http://mlis.state.md.us/2010rs/billfile/HB0986.htm"
"Voting and Elections","Voting and election reform","Cumulative Voting"," Cumulative Voting","2005 Illinois House Joint Resolution Constitutional Amendment 0002",,,,2005,"Illinois legislature ","http://www.ilga.gov/","Illinois ","Exemplary","State","Constitutional Amendment","http://www.ilga.gov/legislation/94/HJRCA/PDF/09400HC0002lv.pdf","www.alicelaw.org/Web_Folder/Voting_and_Elections/Cumulative_Voting/2005_Illinois_House_Joint_Resolution_Constitutional_Amendment_0002.pdf",,"Section 2(b) of this joint resolution authorizes each voter to cast three votes for on candidate or distribute them equally among no more than three candidates.  The candidate with the highest amount of votes will be the winner.","Accumulation voting, weighted voting, multi-voting","http://www.ilga.gov/legislation/BillStatus.asp?DocNum=0002&GAID=8&DocTypeID=HJRCA&LegID=14380&SessionID=50&SpecSess=&Session=&GA=94"
"Voting and Elections","Voting and election reform","Early Voting","Early Voting","No-Excuse Absentee and Early Voting Model Act",,,,2009,"Center for State Innovation","http://www.stateinnovation.org/",,"Model","State","Bill","http://www.cows.org/alice/documents/Democracy/No-excuseabsenteevoting/AbsenteeEarlyVoting.pdf","www.alicelaw.org/Web_Folder/Voting_and_Elections/Early_Voting/No-Excuse_Absentee_and_Early_Voting_Model_Act.pdf",,"This bill allows voters receive an absentee ballot without providing an explanation and allows a person to vote prior to Election Day beginning 15 days before the election.",,"http://apps.leg.wa.gov/billinfo/summary.aspx?bill=6362&year=2006"
